city,city_code,建築物高さ情報有り件数,建築物高さ情報有り割合,建築物高さ情報無し件数,建築物高さ情報無し割合,合計件数
大阪府大阪市浪速区,27111,9391,0.9130772970345162,894,0.08692270296548371,10285
大阪府大阪市西淀川区,27113,24497,0.8945408070111375,2888,0.10545919298886251,27385
大阪府大阪市東淀川区,27114,30913,0.8725830581195133,4514,0.12741694188048663,35427
大阪府大阪市東成区,27115,21535,0.9503111071885618,1126,0.04968889281143815,22661
大阪府大阪市生野区,27116,43269,0.9495479283707865,2299,0.05045207162921348,45568
大阪府大阪市旭区,27117,23233,0.9284658114534629,1790,0.07153418854653719,25023
大阪府大阪市城東区,27118,29457,0.9091105487315598,2945,0.09088945126844022,32402
大阪府大阪市阿倍野区,27119,24713,0.9327068236714976,1783,0.06729317632850242,26496
大阪府大阪市住吉区,27120,31280,0.8928214642500357,3755,0.10717853574996432,35035
大阪府大阪市東住吉区,27121,35084,0.9136696268131983,3315,0.08633037318680174,38399
大阪府大阪市西成区,27122,30377,0.9484513550643188,1651,0.05154864493568128,32028
大阪府大阪市淀川区,27123,32222,0.9092499576725549,3216,0.09075004232744512,35438
大阪府大阪市鶴見区,27124,22264,0.8733720382865212,3228,0.12662796171347873,25492
大阪府大阪市住之江区,27125,23479,0.8560230421467114,3949,0.14397695785328862,27428
大阪府大阪市平野区,27126,40088,0.8588752008569899,6587,0.14112479914301018,46675
大阪府大阪市北区,27127,18039,0.9198409056141961,1572,0.08015909438580389,19611
大阪府大阪市中央区,27128,18013,0.9572726789605144,804,0.04272732103948557,18817
大阪府堺市堺区,27141,53073,0.9902602854743913,522,0.009739714525608732,53595
大阪府堺市中区,27142,48974,0.9644158248163683,1807,0.035584175183631675,50781
大阪府堺市東区,27143,35568,0.965472312703583,1272,0.03452768729641694,36840
大阪府堺市西区,27144,59515,0.9724991012778196,1683,0.027500898722180464,61198
大阪府堺市南区,27145,34429,0.9085367462725953,3466,0.09146325372740467,37895
大阪府堺市北区,27146,40766,0.9749133086213081,1049,0.025086691378691857,41815
大阪府堺市美原区,27147,24311,0.9664864435079907,843,0.033513556492009225,25154
大阪府豊中市,27203,122073,0.9775067663874698,2809,0.02249323361253023,124882
大阪府池田市,27204,44141,0.9742429593007857,1167,0.025757040699214268,45308
大阪府高槻市,27207,102333,0.9284178438256988,7890,0.07158215617430119,110223
大阪府河内長野市,27216,43359,1.0,0,0.0,43359
大阪府和泉市,27219,75936,1.0,0,0.0,75936
大阪府柏原市,27221,28409,1.0,0,0.0,28409
大阪府摂津市,27224,22529,0.8822101264831421,3008,0.1177898735168579,25537
大阪府忠岡町,27341,6794,0.8473434771763532,1224,0.1526565228236468,8018
兵庫県姫路市,28201,327791,0.9930231994522772,2303,0.00697680054772277,330094
兵庫県加古川市,28210,122203,1.0,0,0.0,122203
兵庫県三木市,28215,57448,0.8107711414700237,13408,0.18922885852997628,70856
兵庫県朝来市,28225,12492,0.9902497027348395,123,0.009750297265160524,12615
和歌山県和歌山市,30201,186565,1.0,0,0.0,186565
和歌山県太地町,30422,2909,1.0,0,0.0,2909
鳥取県鳥取市,31201,82738,1.0,0,0.0,82738
鳥取県米子市,31202,81904,0.9761516000238365,2001,0.023848399976163517,83905
鳥取県境港市,31204,26136,0.9987008024455484,34,0.0012991975544516623,26170
鳥取県日吉津村,31384,2983,0.9638126009693053,112,0.03618739903069467,3095
岡山県備前市,33211,42129,0.9684604951610308,1372,0.031539504838969216,43501
広島県広島市中区,34101,24620,0.995994983615842,99,0.004005016384157935,24719
広島県広島市東区,34102,38086,0.9872466172429882,492,0.012753382757011768,38578
広島県広島市南区,34103,37662,0.9939038872614995,231,0.006096112738500515,37893
広島県広島市西区,34104,48298,0.9927442395839756,353,0.0072557604160243365,48651
広島県広島市安佐南区,34105,81024,0.9889779926031711,903,0.011022007396828884,81927
広島県広島市安佐北区,34106,52985,0.98497945829383,808,0.015020541706169947,53793
広島県広島市安芸区,34107,32614,0.9780483416301805,732,0.02195165836981947,33346
広島県広島市佐伯区,34108,50458,0.9895277690618136,534,0.010472230938186382,50992
広島県呉市,34202,101778,0.8603453959881318,16521,0.13965460401186824,118299
広島県竹原市,34203,23530,1.0,0,0.0,23530
広島県福山市,34207,320120,0.977232903308525,7458,0.022767096691475006,327578
広島県府中市,34208,25368,1.0,0,0.0,25368
広島県三次市,34209,26234,0.830663035906529,5348,0.16933696409347096,31582
広島県海田町,34304,10923,1.0,0,0.0,10923
徳島県徳島市,36201,176400,0.9778053701691759,4004,0.02219462983082415,180404
香川県高松市,37201,262249,0.9779790717274403,5905,0.022020928272559796,268154
香川県さぬき市,37206,50078,1.0,0,0.0,50078
愛媛県松山市,38201,289595,0.9854829324068182,4266,0.01451706759318181,293861
愛媛県東温市,38215,23446,0.9412662090007627,1463,0.05873379099923722,24909
福岡県北九州市門司区,40101,30459,0.9068417291889961,3129,0.09315827081100393,33588
福岡県北九州市若松区,40103,30221,0.8687440710610286,4566,0.13125592893897145,34787
福岡県北九州市戸畑区,40105,16058,0.8780621172353456,2230,0.12193788276465442,18288
福岡県北九州市小倉北区,40106,41037,0.9036996256331205,4373,0.09630037436687955,45410
福岡県北九州市小倉南区,40107,61048,0.8881905343866847,7685,0.1118094656133153,68733
福岡県北九州市八幡東区,40108,23222,0.9376564645077929,1544,0.06234353549220706,24766
福岡県北九州市八幡西区,40109,76046,0.8885643176799131,9537,0.11143568232008694,85583
福岡県福岡市東区,40131,79626,0.9997739942745216,18,0.00022600572547837878,79644
福岡県福岡市博多区,40132,40002,0.9999750018748594,1,2.4998125140614454e-05,40003
福岡県福岡市中央区,40133,25659,1.0,0,0.0,25659
福岡県福岡市南区,40134,60465,1.0,0,0.0,60465
福岡県福岡市西区,40135,62336,0.9997433923530922,16,0.00025660764690787786,62352
福岡県福岡市城南区,40136,30880,1.0,0,0.0,30880
福岡県福岡市早良区,40137,56487,0.9999822971250532,1,1.7702874946891374e-05,56488
福岡県大牟田市,40202,87850,0.9734395603177945,2397,0.026560439682205502,90247
福岡県久留米市,40203,102376,1.0,0,0.0,102376
福岡県飯塚市,40205,90875,0.957768596783373,4007,0.04223140321662697,94882
福岡県宗像市,40220,47591,0.6978254813120427,20608,0.3021745186879573,68199
福岡県うきは市,40225,28476,0.9904351153003373,275,0.00956488469966262,28751
福岡県筑前町,40447,25293,0.9603599498803964,1044,0.0396400501196036,26337
佐賀県武雄市,41206,37246,1.0,0,0.0,37246
佐賀県小城市,41208,28040,0.8778960551033187,3900,0.12210394489668128,31940
佐賀県大町町,41423,4881,0.859330985915493,799,0.14066901408450705,5680
佐賀県江北町,41424,8643,0.9835002275830678,145,0.01649977241693218,8788
佐賀県白石町,41425,27375,0.986806531848167,366,0.013193468151833027,27741
長崎県佐世保市,42202,133405,0.938500284916319,8742,0.061499715083680975,142147
熊本県熊本市中央区,43101,50938,1.0,0,0.0,50938
熊本県熊本市東区,43102,53336,1.0,0,0.0,53336
熊本県熊本市西区,43103,40021,0.9929044582826805,286,0.007095541717319572,40307
熊本県熊本市南区,43104,44449,0.9932737430167597,301,0.0067262569832402235,44750
熊本県熊本市北区,43105,47611,1.0,0,0.0,47611
熊本県荒尾市,43204,35266,0.7595356550580431,11165,0.24046434494195687,46431
熊本県玉名市,43206,40751,0.8626375952582557,6489,0.1373624047417443,47240
熊本県益城町,43443,20776,0.9963074857334676,77,0.0036925142665323934,20853
大分県日田市,44204,34682,0.9892749158537281,376,0.010725084146271891,35058
宮崎県延岡市,45203,55738,0.8471206893931335,10059,0.15287931060686658,65797
沖縄県那覇市,47201,62698,0.9920883572264945,500,0.00791164277350549,63198
